uid,geo_unit_el,geo_unit,state_el,state,region_el,region,population,map_value
EL000,Ελλάδα,,,,Χωρίς Γεωγραφικό Προσδιορισμό,No Location Provided,0.0,
EL001,Ελλάδα,,,,Εισαγόμενα (Πύλες Εισόδου),Imported (Detected at the entry points),0.0,
EL002,Ελλάδα,,,,Εισαγόμενα (Αυτοβούλως),Imported (They asked to be tested),0.0,
EL111,Θράκη,Thrace,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Έβρου,Evros,147947.0,
EL112,Θράκη,Thrace,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Ξάνθης,Xanthi,111222.0,
EL113,Θράκη,Thrace,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Ροδόπης,Rhodope,112039.0,
EL114,Μακεδονία,Macedonia,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Δράμας,Drama,98287.0,
EL115,Μακεδονία,Macedonia,Περιφέρεια Ανατολικής Μακεδονίας Θράκης,East Macedonia-Thrace,Π.Ε. Καβάλας,Kavala,138687.0,Ν. Καβάλας
EL121,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Ημαθίας,Imathia,140611.0,
EL122,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Θεσσαλονίκης,Thessaloniki,1110551.0,
EL123,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Κιλκίς,Kilkis,80419.0,
EL124,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Πέλλας,Pella,139680.0,
EL125,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Πιερίας,Pieria,126698.0,
EL126,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Σερρών,Serres,176430.0,
EL127,Μακεδονία,Macedonia,Περιφέρεια Κεντρικής Μακεδονίας,Central Macedonia,Π.Ε. Χαλκιδικής,Chalkidiki,107719.0,
EL127,Άγιον Όρος,Mount Athos,Άγιον Όρος,Mount Athos,Άγιο Όρος,Mount Athos,1811.0,
EL131,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Γρεβενών,Grevena,31757.0,
EL132,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Καστοριάς,Kastoria,50322.0,
EL133,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Κοζάνης,Kozani,150196.0,
EL134,Μακεδονία,Macedonia,Περιφέρεια Δυτικής Μακεδονίας,Western Macedonia,Π.Ε. Φλώρινας,Florina,51414.0,
EL141,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Π.Ε. Καρδίτσας,Karditsa,113544.0,
EL142,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Π.Ε. Λαρίσης,Larissa,284325.0,Ν. ΛΑΡΙΣΑΣ
EL143,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Π.Ε. Μαγνησίας,Magnesia,203808.0,Ν. Μαγνησίας
EL144,Θεσσαλία,Thessaly,Περιφέρεια Θεσσαλίας,Thessaly,Π.Ε. Τρικάλων,Trikala,131085.0,
EL211,Ήπειρος,Epirus,Περιφέρεια Ηπείρου,Epirus,Π.Ε. Άρτας,Arta,67877.0,
EL212,Ήπειρος,Epirus,Περιφέρεια Ηπείρου,Epirus,Π.Ε. Θεσπρωτίας,Thesprotia,43587.0,
EL213,Ήπειρος,Epirus,Περιφέρεια Ηπείρου,Epirus,Π.Ε. Ιωαννίνων,Ioannina,167901.0,
EL214,Ήπειρος,Epirus,Περιφέρεια Ηπείρου,Epirus,Π.Ε. Πρεβέζης,Preveza,57491.0,Ν. ΠΡΕΒΕΖΑΣ
EL221,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Ζακύνθου,Zakynthos,40759.0,
EL222,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Κέρκυρας,Corfu (Kerkyra),104371.0,
EL223,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Κεφαλλονιάς,Kefalonia,39032.0,Ν. Κεφαλληνίας
EL224,Νησιά Ιονίου Πελάγους,Aegean,Περιφέρεια Ιονίων Νήσων,Ionian Islands,Π.Ε. Λευκάδας,Lefkada,23693.0,
EL231,Στερεά Ελλάδα,Central Greece,Περιφέρεια Δυτικής Ελλάδας,Western Greece,Π.Ε. Αιτωλοακαρνανίας,Aetolia-Acarnania,210802.0,
EL232,Πελοπόννησος,Peloponnese,Περιφέρεια Δυτικής Ελλάδας,Western Greece,Π.Ε. Αχαϊας,Achaea,309694.0,
EL233,Πελοπόννησος,Peloponnese,Περιφέρεια Δυτικής Ελλάδας,Western Greece,Π.Ε. Ηλείας,Elis,159300.0,
EL241,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Βοιωτίας,Boeotia,117920.0,
EL242,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Ευβοίας,Euboea,210815.0,
EL243,Στερεά Ελλάδα,Central Greece,Περιφέρεια Στερεάς Ελλάδας και Εύβοιας,Central Greece,Π.Ε. Ευρυτανίας,Evrytania,20081.0,
